resample	median_variance
542	74.697917
543	87.670833
544	75.041667
545	94.833333
546	107.947917
547	76.229167
548	74.281250
549	64.864583
550	66.333333
551	68.958333
552	68.454167
553	85.416667
554	136.000000
555	81.458333
556	80.333333
557	76.820833
558	87.197917
559	84.281250
560	84.041667
561	91.254167
562	128.208333
563	104.958333
564	111.458333
565	140.833333
566	83.333333
567	109.708333
568	80.037500
569	139.660417
570	114.822917
571	85.654167
572	82.041667
573	120.875000
574	80.416667
575	107.083333
576	92.666667
577	156.500000
578	80.833333
579	80.333333
580	113.458333
581	85.447917
582	75.212500
583	75.625000
584	100.697917
585	80.379167
586	115.631250
587	100.739583
588	85.833333
589	100.041667
590	92.322917
591	102.995833
592	110.000000
593	70.145833
594	104.252083
595	93.666667
596	82.614583
597	127.125000
598	86.250000
599	98.629167
600	118.406250
601	120.660417
602	83.333333
603	77.845833
604	99.625000
605	111.916667
606	82.041667
607	87.204167
608	62.822917
609	84.791667
610	142.708333
611	112.250000
612	93.489583
613	116.166667
614	104.500000
615	97.531250
616	128.489583
617	93.791667
618	113.958333
619	92.958333
620	87.208333
621	79.166667
622	89.406250
623	125.333333
624	88.333333
625	75.500000
626	103.887500
627	75.531250
628	92.125000
629	101.045833
630	96.041667
631	131.375000
632	96.125000
633	82.708333
634	72.250000
635	119.781250
636	52.287500
637	81.287500
638	74.387500
639	65.202381
640	87.947917
641	91.416667
642	104.166667
643	113.781250
644	65.333333
645	92.458333
646	125.458333
647	128.875000
648	109.666667
649	88.958333
650	78.779167
651	116.166667
652	110.781250
653	90.833333
654	86.550000
655	83.833333
656	96.416667
657	131.066667
658	70.708333
659	113.166667
660	106.583333
661	125.666667
662	116.812500
663	101.333333
664	48.443750
665	116.166667
666	97.208333
667	100.333333
668	64.781250
669	70.583333
670	108.947917
671	168.541667
672	104.364583
673	109.666667
674	128.891667
675	98.156250
676	64.183333
677	74.691667
678	77.239583
679	124.131250
680	110.166667
681	103.375000
682	118.291667
683	74.125000
684	95.072917
685	107.166667
686	88.025000
687	66.958333
688	100.041667
689	91.083333
690	85.125000
691	113.041667
692	55.541667
693	84.129167
694	109.897917
695	96.541667
696	110.447917
697	74.777083
698	118.781250
699	86.583333
700	109.614583
701	96.818750
702	80.833333
703	117.083333
704	88.666667
705	85.458333
706	123.531250
707	89.062500
708	80.600000
709	106.031250
710	98.583333
711	60.906250
712	122.445833
713	95.114583
714	106.958333
715	136.000000
716	84.129167
717	114.041667
718	95.291667
719	107.162500
720	110.697917
721	79.239583
722	76.225000
723	115.791667
724	110.485417
725	99.387500
726	149.250000
727	111.166667
728	66.541667
729	83.625000
730	130.072917
731	126.791667
732	67.406250
733	95.708333
734	120.666667
735	85.454167
736	70.854167
737	157.166667
738	80.708333
739	78.333333
740	109.058333
741	126.864583
742	78.291667
743	106.000000
744	73.958333
745	94.947917
746	89.531250
747	116.833333
748	119.875000
749	122.750000
750	76.781250
751	138.364583
752	117.114583
753	92.625000
754	129.166667
755	115.666667
756	102.791667
757	93.183333
758	87.468750
759	86.791667
760	86.500000
761	92.229167
762	94.541667
763	123.245833
764	111.333333
765	76.697917
766	80.833333
767	136.114583
768	77.614583
769	83.375000
770	85.916667
771	117.254167
772	120.416667
773	90.852083
774	80.166667
775	89.416667
776	126.583333
777	98.875000
778	108.304167
779	122.114583
780	120.250000
781	66.916667
782	85.833333
783	128.916667
784	80.937500
785	64.208333
786	57.502083
787	100.254167
788	74.541667
789	107.666667
790	76.554167
791	80.166667
792	127.204167
793	116.791667
794	102.364583
795	64.322917
796	109.041667
797	104.441667
798	92.197917
799	97.700000
800	106.791667
801	83.041667
802	59.708333
803	125.204167
804	137.041667
805	76.958333
806	66.958333
807	132.958333
808	87.645833
809	83.079167
810	82.979167
811	120.041667
812	122.166667
813	128.487500
814	86.114583
815	65.333333
816	103.100000
817	95.654762
818	84.958333
819	112.656250
820	97.479167
821	78.208333
822	84.541667
823	85.333333
824	101.958333
825	109.854167
826	97.912500
827	72.571429
828	69.916667
829	82.129167
830	69.656250
831	112.031250
832	123.000000
833	83.375000
834	102.962500
