permutation	qualifying_units	median_variance
285	76	825.3375
286	74	763.5
287	74	1209.7
288	72	664.5041666666666
289	79	850.0833333333334
290	71	1249.2
291	79	991.5833333333334
292	73	683.675
293	83	967.0
294	71	1198.6666666666667
295	77	683.675
296	80	872.6458333333333
297	76	1007.7916666666667
298	76	1121.8916666666667
299	68	825.3375
300	72	979.2916666666667
301	76	979.2916666666667
302	76	698.0
303	76	1080.8916666666667
304	74	979.2916666666667
305	77	1132.3333333333333
306	72	979.2916666666667
307	76	825.3375
308	79	1365.3333333333333
309	75	991.5833333333334
310	79	1069.6666666666667
311	81	1106.5833333333333
312	82	653.6666666666667
313	72	1319.8333333333333
314	73	991.5833333333334
315	74	1255.725
316	76	610.8333333333334
317	75	967.0
318	77	1161.7291666666667
319	75	1073.5833333333333
320	70	672.3375
321	78	766.8791666666666
322	77	824.9166666666666
323	73	991.5833333333334
324	75	993.0
325	75	967.0
326	78	1134.9583333333333
327	76	1032.5833333333333
328	74	979.2916666666667
329	75	991.5833333333334
330	77	822.3333333333334
331	74	590.7666666666667
332	80	938.3333333333333
333	75	683.675
334	78	1071.625
335	79	366.3333333333333
336	77	967.0
337	75	1170.2
338	80	1090.0833333333333
339	74	1261.7666666666667
340	77	1170.2
341	77	1249.2
342	75	1352.25
343	75	1365.3333333333333
344	78	608.5416666666667
345	76	750.1011904761905
346	75	991.5833333333334
347	75	967.0
348	79	920.375
349	74	1052.6416666666667
350	80	672.3375
351	69	1190.25
352	78	922.9208333333333
353	78	595.0595238095239
354	77	850.0833333333334
355	75	735.0
356	78	979.2916666666667
357	78	979.2916666666667
358	78	1071.625
359	71	683.675
360	80	1046.8333333333335
361	76	893.1291666666666
362	74	1121.8916666666667
363	76	525.0
364	72	1032.5833333333333
365	72	825.3375
366	74	1165.9645833333334
367	80	616.375
368	79	1020.9166666666666
369	75	967.0
370	74	979.2916666666667
371	74	990.8333333333333
372	75	967.0
373	74	1006.25
374	72	1165.9645833333334
375	75	683.675
376	75	991.5833333333334
377	73	992.25
378	77	682.5833333333334
379	76	802.025
380	77	542.3
381	76	1011.6416666666667
382	78	754.2958333333333
383	76	595.2083333333334
384	78	785.125
385	81	683.675
386	75	920.375
387	73	992.25
388	76	1033.2916666666665
389	82	1358.2916666666665
390	79	967.0
391	80	979.2916666666667
392	75	991.5833333333334
393	75	967.0
394	75	1106.5833333333333
395	74	979.2916666666667
396	76	979.2916666666667
397	76	1161.3916666666667
398	79	1073.5833333333333
399	70	740.7083333333333
400	76	664.5041666666666
401	78	837.6291666666666
402	75	967.0
403	80	938.3333333333333
404	73	1073.5833333333333
405	77	1198.6666666666667
406	78	990.8333333333333
407	82	653.1666666666667
408	81	576.3333333333334
409	77	961.3333333333334
410	78	895.9583333333333
411	77	967.0
412	71	1073.5833333333333
413	79	967.0
414	78	1071.625
415	74	1090.0833333333333
416	71	683.675
417	72	581.0595238095239
418	80	979.2916666666667
419	79	683.675
420	73	991.5833333333334
421	79	683.675
422	74	1096.7145833333334
423	79	661.0
424	75	1170.2
425	75	991.5833333333334
426	77	1073.5833333333333
427	79	967.0
428	72	1020.2916666666666
429	72	1401.0166666666667
430	77	822.3333333333334
431	76	754.2958333333333
432	72	979.2916666666667
433	71	967.0
434	73	1262.25
435	79	683.675
436	76	1209.7
437	76	1049.0833333333333
438	78	968.5729166666667
439	79	850.0833333333334
440	82	665.0041666666666
441	77	961.3333333333334
442	74	1190.7666666666667
443	74	1032.5833333333333
444	75	991.5833333333334
445	78	1090.0833333333333
446	73	1170.2
447	75	507.7
448	75	824.9166666666666
449	73	1073.5833333333333
450	73	1274.3333333333333
451	78	806.1666666666667
452	75	824.9166666666666
453	76	979.2916666666667
454	78	679.4803571428572
455	79	645.3333333333334
456	76	979.2916666666667
457	73	363.0
458	80	540.6416666666667
459	74	650.5041666666666
460	76	825.3375
461	73	991.5833333333334
462	80	1009.2916666666667
463	79	822.3333333333334
464	76	557.025
465	78	1119.9333333333334
466	76	1165.5
467	80	895.9583333333333
468	74	1184.4333333333334
469	77	1249.2
470	75	536.2
471	77	991.5833333333334
472	81	683.675
473	79	822.3333333333334
474	76	908.25
475	74	979.2916666666667
476	77	1073.5833333333333
477	73	1014.6666666666666
478	76	754.2958333333333
479	80	1261.7666666666667
480	75	645.3333333333334
481	79	645.3333333333334
482	81	991.5833333333334
483	75	1069.6666666666667
484	70	979.2916666666667
485	76	1052.6416666666667
486	73	571.75
487	75	1057.7291666666667
488	74	627.7125
489	78	895.9583333333333
490	83	646.3333333333334
491	76	1012.35
492	76	645.8333333333334
493	76	576.5166666666667
494	76	672.3375
495	80	593.8166666666666
496	76	1209.7
497	72	1003.4583333333333
498	71	456.3333333333333
499	74	1032.5833333333333
500	76	1102.9583333333333
501	73	991.5833333333334
502	75	1170.2
503	80	822.5041666666666
504	79	1132.3333333333333
505	75	991.5833333333334
506	76	1358.2916666666665
507	79	1274.3333333333333
508	78	825.3375
509	75	683.675
510	77	1249.2
511	77	1274.3333333333333
512	77	991.5833333333334
513	74	822.5041666666666
514	77	1198.6666666666667
515	80	1209.7
516	79	920.375
517	73	920.375
518	74	825.3375
519	77	1069.6666666666667
520	82	664.5041666666666
521	78	482.01666666666665
522	75	1198.6666666666667
523	77	1331.6666666666667
524	71	571.75
525	75	645.3333333333334
526	80	614.3791666666666
527	74	825.3375
528	78	979.2916666666667
529	74	1223.9333333333334
530	75	967.0
531	78	482.01666666666665
532	80	979.2916666666667
533	78	664.5041666666666
534	75	850.0833333333334
535	85	544.7857142857143
536	73	920.375
537	69	936.175
538	78	943.6875
539	74	1261.7666666666667
540	72	979.2916666666667
541	81	1170.2
542	73	1365.3333333333333
543	75	967.0
544	78	1188.53125
545	84	908.25
546	79	824.9166666666666
547	78	785.125
548	78	595.2083333333334
549	75	760.0833333333334
550	75	824.9166666666666
551	78	979.2916666666667
552	74	558.2678571428571
553	76	943.6875
554	78	1102.9583333333333
555	77	683.675
556	78	645.8333333333334
557	72	940.8541666666667
558	79	967.0
559	77	1014.6666666666666
560	78	979.2916666666667
561	80	1209.7
562	79	661.0
563	77	991.5833333333334
564	76	1209.7
565	78	979.2916666666667
566	74	872.6458333333333
567	78	1184.4333333333334
568	76	1032.5833333333333
569	73	1073.5833333333333
570	79	661.0
571	76	943.6875
572	78	979.2916666666667
573	71	1198.6666666666667
574	80	1163.7666666666667
575	79	967.0
576	75	683.675
577	73	991.5833333333334
578	78	1188.53125
579	80	979.2916666666667
580	77	735.0
581	74	754.2958333333333
582	76	943.6875
583	72	482.01666666666665
584	75	1073.0833333333333
585	80	823.625
586	75	967.0
587	76	525.0
588	78	895.9583333333333
589	79	661.0
590	75	991.5833333333334
591	77	661.0
592	75	993.0
593	73	1170.2
594	77	850.0833333333334
595	74	1209.7
596	79	1031.7
597	71	1178.3958333333333
598	75	683.675
599	79	683.675
600	75	1132.3333333333333
601	76	979.2916666666667
602	73	967.0
603	78	955.9791666666667
604	76	1080.8916666666667
605	79	967.0
606	74	943.6875
607	81	991.5833333333334
608	72	1223.9333333333334
